                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.7195,                 1.9295,                 2.2046,                0.60959,                0.47685,                0.49777,                0.23665,                 1.7089,                 2.0859,                 2.3181,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.6865,                 1.9397,                 2.2271,                0.57691,                0.43413,                0.48741,                0.22405,                 1.7387,                  2.117,                 2.3438,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.6899,                 1.9467,                 2.2064,                0.60157,                0.47305,                0.52517,                0.26082,                 1.6661,                 1.9342,                 2.2963,               0.000614,               0.000614,               0.000614
                     73,                 1.6696,                 1.8779,                  2.193,                0.57562,                0.49102,                0.51653,                0.26046,                 1.6595,                 1.9046,                 2.3037,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.7497,                 1.9457,                 2.2291,                0.59727,                0.51497,                0.55095,                0.26974,                 1.6614,                 1.8675,                 2.2846,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.6868,                 1.9184,                 2.2044,                0.60549,                0.47305,                0.54961,                0.26968,                  1.688,                 1.8843,                 2.2932,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.6486,                 1.8741,                 2.1745,                0.60272,                0.45509,                0.55361,                0.27595,                 1.6073,                 1.8458,                  2.227,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.6485,                 1.9061,                  2.191,                0.58401,                0.52395,                0.55449,                0.28123,                 1.6121,                 1.8378,                 2.2219,               0.000515,               0.000515,               0.000515
                     78,                 1.6728,                 1.8649,                 2.1867,                0.63704,                0.53593,                 0.5923,                0.31019,                 1.5655,                 1.8026,                 2.1755,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.6501,                  1.896,                 2.1633,                0.65483,                0.56801,                0.61277,                0.33265,                 1.5349,                 1.8032,                 2.1734,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.6108,                 1.7817,                 2.1027,                0.65364,                0.50852,                0.60014,                  0.316,                 1.5782,                 1.8139,                 2.2046,              0.0004556,              0.0004556,              0.0004556
                     81,                  1.665,                 1.9071,                 2.1699,                0.67337,                0.51497,                0.59996,                0.32785,                 1.5549,                 1.7554,                 2.1702,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.6479,                 1.8548,                 2.1466,                0.61314,                 0.5457,                 0.5806,                0.29744,                 1.5321,                  1.773,                 2.1531,               0.000416,               0.000416,               0.000416
                     83,                 1.5804,                 1.8019,                 2.1457,                0.65524,                0.56287,                0.59106,                0.29425,                 1.5311,                 1.7948,                 2.1513,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.6117,                 1.8009,                  2.139,                0.68297,                0.52096,                0.59856,                0.31318,                  1.536,                 1.7725,                 2.1603,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.5687,                 1.7599,                 2.0879,                0.67589,                0.53072,                0.62943,                0.33731,                 1.5299,                 1.7601,                 2.1579,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.5565,                 1.8056,                 2.1143,                  0.715,                0.53329,                0.65595,                  0.366,                  1.464,                 1.6875,                 2.0961,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.5642,                 1.8122,                 2.0853,                 0.6502,                0.59547,                0.64323,                0.35325,                 1.4539,                 1.6531,                 2.0869,               0.000317,               0.000317,               0.000317
                     88,                 1.5873,                 1.7974,                 2.1441,                0.65187,                0.55689,                0.62672,                0.34339,                 1.4848,                 1.6736,                 2.0966,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.5818,                  1.778,                 2.1029,                0.63493,                0.58383,                0.63753,                0.35693,                 1.4888,                 1.6557,                  2.089,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.5655,                 1.7605,                 2.0704,                0.69444,                0.55988,                0.63599,                0.35538,                 1.4923,                  1.687,                 2.1033,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.5762,                 2.0318,                 2.1509,                0.66975,                0.58898,                0.63781,                0.35464,                 1.5301,                 1.7046,                 2.1422,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.4992,                 1.8904,                 2.0914,                0.68319,                0.54491,                0.62907,                0.36169,                 1.5534,                 1.7198,                 2.1523,               0.000218,               0.000218,               0.000218
                     93,                 1.5224,                 1.8575,                 2.1177,                0.67348,                 0.5558,                0.62543,                0.36834,                 1.4716,                 1.6909,                 2.0882,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.5005,                 1.8011,                 2.1044,                0.65007,                0.58383,                0.63539,                0.37398,                 1.4428,                 1.6784,                 2.0644,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.4962,                 1.7783,                 2.0875,                0.65492,                 0.5988,                0.65356,                0.38209,                 1.4438,                 1.6269,                 2.0564,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.4935,                 1.7931,                 2.0923,                0.67247,                0.62703,                0.66845,                0.39418,                 1.4213,                 1.5808,                 2.0244,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.4619,                 1.7419,                 2.0775,                0.69648,                0.61377,                0.66854,                0.39474,                 1.4167,                 1.5746,                 2.0147,               0.000119,               0.000119,               0.000119
                     98,                 1.4485,                 1.6989,                 2.0617,                0.72103,                0.62275,                0.68239,                0.39677,                  1.417,                 1.5776,                 2.0098,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.4469,                 1.7474,                 2.0583,                0.73177,                0.61677,                0.68717,                 0.4027,                 1.4064,                 1.5801,                 2.0023,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.4277,                 1.7364,                 2.0348,                0.70886,                0.62275,                 0.6907,                0.40708,                 1.3956,                  1.569,                 1.9971,               5.96e-05,               5.96e-05,               5.96e-05
